Job field,User principal name,Department,TeamId,ChannelId,WebhookUrl
Administrator,admin@M365x62207154.onmicrosoft.com,Administration,a630fb85-1314-4de8-9adb-9d211353cf64,3SbnzCU2j_HUFPuwnE2Xng7NHkoaelrIli0Tpe9z63E1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/af79f3ea7ea24311b14b98accaae291b/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=m3zRfgDS_3IooMFDqk7obAJqU5RrfDcdDV63ijAarvI
Dynamics/CRM,DynamicsCRM@M365x62207154.onmicrosoft.com,D. Opérations TN / CRM,e5207d21-3abf-4138-a26f-ea0bada356cb,3ZGehf3H1Gxn5WLcNBJtebBpnhmMCiJHBxW0bQ39tXU1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/45e8d13716d64cdb9fb99379b02f960e/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=-nbQXGaz5M15PTre-lCvbPX5vwYmv5CwR7j5CLfnKCM
Database – Oracle,DatabaseOracle@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
QA / Testing,PradeepG@M365x62207154.OnMicrosoft.com,"Business Analyst, QA",fd3f4e5c-382d-4ff9-8599-9e7bd23a79c7,B17mqwOhkzcCiWbDXn014UKdJjbIfms9_EhEw7Wh6EQ1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/dcebc5522c5244ce9c00b4323436e9d8/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=h3d1ldiulaQo4V7I2xN4fKjwQZxjjaj8wwR_PS-Kvtk
BI / Power BI / Reporting,BI@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
Problem Management,ProblemManagement@M365x62207154.onmicrosoft.com,Qualité & Sécurité,b0116666-9da8-43c1-b292-c5b4b50615bf,DCeztZNmqtVT8VcHLGXnjlc8m7980eNPFJfh85cfQHA1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/39fb2c9562e14fc9a067bd7a0b87e0e0/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=jtsBPix6u0smf7wuNEJup6WvIJ_CEK8fooE5DYB_e6s
ERP – SAP,ERPSAP@M365x62207154.onmicrosoft.com,Solutions / SAP,8185d01b-ea6d-4ed3-acf5-cd8ea9c04e7c,FTTepFW8eBkrOSXo88YKGGMafWlwBc81OxwdxfFMAq81@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/bf52dca94ce24d799386bf7c32703e5e/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=Hm5VEpmvaegcyczz7gLJgL46puSdFYOa8pObp6-2xaM
Active Directory / Entra ID,ActiveDirectoryEntraID@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
Web Applications,WebApplications@M365x62207154.onmicrosoft.com,Technologies / Digital Consulting,6ec34b3d-1bb9-4551-a919-14e1082732dd,GclF07ugout3c-HrZ0jV-bGQqNpS3BxcW0zoAVttE041@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/9817251d9f2047c8affc850c5474b869/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=8aZJiMLrI4lgOvMFwXqu-QquNEQfJc3LfsUiDh6b6Ow
Change Management,ChangeManagement@M365x62207154.OnMicrosoft.com,Project Management,b908144c-da52-4917-a28c-dffc63605676,N7WE-SrX4GRpTQK7IneILbooA41w9zMbaUms2s-Mf741@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/be9a7da97583449dbe6b8be9e972c5d8/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=ASNMGjBn1mCdOwRla0gWDJ_EwKFNCtzIWUNFjOZ5QfQ
